
Collision Hour,"Total","Midnight to 0:59","1:00 to 1:59","2:00 to 2:59","3:00 to 3:59","4:00 to 4:59","5:00 to 5:59","6:00 to 6:59","7:00 to 7:59","8:00 to 8:59","9:00 to 9:59","10:00 to 10:59","11:00 to 11:59","12:00 to 12:59","13:00 to 13:59","14:00 to 14:59","15:00 to 15:59","16:00 to 16:59","17:00 to 17:59","18:00 to 18:59","19:00 to 19:59","20:00 to 20:59","21:00 to 21:59","22:00 to 22:59","23:00 to 23:59"
Measures,"Number of collisions","Number of collisions","Number of collisions","Number of collisions","Number of collisions","Number of collisions","Number of collisions","Number of collisions","Number of collisions","Number of collisions","Number of collisions","Number of collisions","Number of collisions","Number of collisions","Number of collisions","Number of collisions","Number of collisions","Number of collisions","Number of collisions","Number of collisions","Number of collisions","Number of collisions","Number of collisions","Number of collisions","Number of collisions"
"Year",
"Total",1085791,15505,12479,11333,10019,8439,12919,28229,47456,60358,47807,49236,56926,67012,66673,72978,88502,94657,91108,67482,50310,39700,35784,28615,22264
"2012",123549,1800,1601,1692,1501,1071,1397,2988,5212,6907,5326,5473,6390,7640,7321,8165,9929,10870,10472,7776,5711,4442,4054,3237,2574
"2013",121195,1784,1410,1339,1212,988,1358,3065,5366,7065,5455,5597,6417,7470,7434,8209,9750,10549,10052,7465,5461,4261,3920,3182,2386
"2014",115443,1701,1312,1200,1066,878,1333,2944,5249,6657,5258,5453,6084,7113,6991,7620,9385,10030,9864,7035,5109,4057,3804,2965,2335
"2015",118652,1732,1372,1241,1044,890,1333,2905,5381,6923,5175,5410,6251,7258,7203,7861,9722,10467,10098,7388,5302,4317,3878,3186,2315
"2016",117299,1612,1283,1177,1101,918,1425,3035,5216,6662,5263,5248,5990,7167,7216,7760,9629,10278,9719,7361,5569,4324,3933,3070,2343
"2017",113492,1576,1283,1180,986,875,1337,3002,4972,6213,5049,5189,5888,7122,7053,7579,9200,9808,9471,7190,5174,4146,3772,3037,2390
"2018",110410,1558,1259,1044,991,847,1381,2940,4957,6275,4893,5032,5804,6619,6673,7230,8930,9526,9347,6823,5168,4116,3737,2928,2332
"2019",103842,1454,1126,971,856,739,1305,2851,4675,5929,4687,4721,5404,6410,6394,7055,8350,9027,8663,6310,4801,3753,3464,2765,2132
"2020",79064,1172,922,730,622,599,988,2207,3142,3756,3311,3425,4263,4973,5134,5612,6476,6808,6514,4935,3862,3057,2595,2177,1784
"2021",82845,1116,911,759,640,634,1062,2292,3286,3971,3390,3688,4435,5240,5254,5887,7131,7294,6908,5199,4153,3227,2627,2068,1673
