
,,Year,"Total","Total","Total","1999","1999","1999","2000","2000","2000","2001","2001","2001","2002","2002","2002","2003","2003","2003","2004","2004","2004","2005","2005","2005","2006","2006","2006","2007","2007","2007","2008","2008","2008","2009","2009","2009","2010","2010","2010","2011","2011","2011","2012","2012","2012","2013","2013","2013","2014","2014","2014","2015","2015","2015","2016","2016","2016","2017","2017","2017","2018","2018","2018","2019","2019","2019","2020","2020","2020","2021","2021","2021"
,,Measures,"Number of persons","Number of injured","Number of fatalities","Number of persons","Number of injured","Number of fatalities","Number of persons","Number of injured","Number of fatalities","Number of persons","Number of injured","Number of fatalities","Number of persons","Number of injured","Number of fatalities","Number of persons","Number of injured","Number of fatalities","Number of persons","Number of injured","Number of fatalities","Number of persons","Number of injured","Number of fatalities","Number of persons","Number of injured","Number of fatalities","Number of persons","Number of injured","Number of fatalities","Number of persons","Number of injured","Number of fatalities","Number of persons","Number of injured","Number of fatalities","Number of persons","Number of injured","Number of fatalities","Number of persons","Number of injured","Number of fatalities","Number of persons","Number of injured","Number of fatalities","Number of persons","Number of injured","Number of fatalities","Number of persons","Number of injured","Number of fatalities","Number of persons","Number of injured","Number of fatalities","Number of persons","Number of injured","Number of fatalities","Number of persons","Number of injured","Number of fatalities","Number of persons","Number of injured","Number of fatalities","Number of persons","Number of injured","Number of fatalities","Number of persons","Number of injured","Number of fatalities","Number of persons","Number of injured","Number of fatalities"
"Month","Collision Sev","Injury Severity",
"Total","Total","Total",7699838,4048287,53227,412887,218457,2980,421346,222848,2904,408671,216542,2758,419237,222665,2921,406319,216123,2777,388446,206104,2735,385756,204700,2898,377755,199976,2871,367720,192743,2753,337489,176394,2431,330103,170770,2216,333987,172081,2238,324537,167740,2023,322290,166727,2075,316543,164525,1951,299800,156556,1841,308466,160796,1887,303224,158843,1900,289657,152773,1861,281971,149054,1939,265965,139073,1756,194749,104251,1745,202920,108546,1767
"Total","Total","No Injuries",3125694,0,0,172332,0,0,172574,0,0,166907,0,0,171030,0,0,164649,0,0,157790,0,0,156506,0,0,152173,0,0,147497,0,0,135653,0,0,132635,0,0,135586,0,0,131211,0,0,129812,0,0,129243,0,0,121519,0,0,126262,0,0,122632,0,0,118215,0,0,114173,0,0,108222,0,0,76313,0,0,82760,0,0
"Total","Total","Injured",4048287,4048287,0,218457,218457,0,222848,222848,0,216542,216542,0,222665,222665,0,216123,216123,0,206104,206104,0,204700,204700,0,199976,199976,0,192743,192743,0,176394,176394,0,170770,170770,0,172081,172081,0,167740,167740,0,166727,166727,0,164525,164525,0,156556,156556,0,160796,160796,0,158843,158843,0,152773,152773,0,149054,149054,0,139073,139073,0,104251,104251,0,108546,108546,0
"Total","Total","Fatalities",53227,0,53227,2980,0,2980,2904,0,2904,2758,0,2758,2921,0,2921,2777,0,2777,2735,0,2735,2898,0,2898,2871,0,2871,2753,0,2753,2431,0,2431,2216,0,2216,2238,0,2238,2023,0,2023,2075,0,2075,1951,0,1951,1841,0,1841,1887,0,1887,1900,0,1900,1861,0,1861,1939,0,1939,1756,0,1756,1745,0,1745,1767,0,1767
"Total","Total","Unknown",115667,0,0,19117,0,0,1378,0,0,1503,0,0,1573,0,0,1618,0,0,1108,0,0,1288,0,0,4153,0,0,4082,0,0,4663,0,0,5437,0,0,6862,0,0,7203,0,0,8129,0,0,6507,0,0,6063,0,0,5718,0,0,6177,0,0,4088,0,0,2925,0,0,3060,0,0,6921,0,0,6094,0,0
"Total","Total","Not applicable",356963,0,0,1,0,0,21642,0,0,20961,0,0,21048,0,0,21152,0,0,20709,0,0,20364,0,0,18582,0,0,20645,0,0,18348,0,0,19045,0,0,17220,0,0,16360,0,0,15547,0,0,14317,0,0,13821,0,0,13803,0,0,13672,0,0,12720,0,0,13880,0,0,13854,0,0,5519,0,0,3753,0,0
"Total","Fatal collisions","Total",129407,42849,53227,7582,2881,2980,7003,2577,2904,6705,2496,2758,7133,2629,2921,6859,2542,2777,6915,2465,2735,6957,2490,2898,6881,2352,2871,6749,2244,2753,5787,1928,2431,5312,1656,2216,5416,1772,2238,5055,1583,2023,4904,1471,2075,4842,1481,1951,4417,1312,1841,4526,1397,1887,4705,1364,1900,4481,1323,1861,4724,1449,1939,4273,1245,1756,4174,1126,1745,4007,1066,1767
